File,Model,sMAPE,MASE,MAE,RMSE,Execution Time
Back Bay_Lyft_Lux Black XL.csv,ARIMA,4.434181655243419,0.5995960352634174,1.3907532908051607,1.7815496530182688,0.1889970302581787
Back Bay_Lyft_Lux Black XL.csv,SES,4.490857267830392,0.6072455838329374,1.4084962947954387,1.7871991195168093,0.017003297805786133
Back Bay_Lyft_Lux Black XL.csv,TBATS,4.379793199496531,0.5922778075065471,1.3737787800726844,1.7790381085323907,19.344469785690308
Back Bay_Lyft_Lux Black XL.csv,ETS,4.531907065864848,0.6127983883941929,1.421375935024166,1.7930507568495395,0.004976034164428711
Back Bay_Lyft_Lux Black.csv,ARIMA,5.904854367625746,0.6996387889406477,1.3030888688876874,1.7196759150929533,0.06100344657897949
Back Bay_Lyft_Lux Black.csv,SES,5.9044360381512035,0.6995902842174733,1.30299852803487,1.7195490958480004,0.002996683120727539
Back Bay_Lyft_Lux Black.csv,TBATS,6.012720813864181,0.7121189862733698,1.3263334437781336,1.7555947278622084,16.147384881973267
Back Bay_Lyft_Lux Black.csv,ETS,5.832152508851246,0.691179801316684,1.2873338638921297,1.6957794969356994,0.0049991607666015625
Back Bay_Lyft_Lux.csv,ARIMA,5.507030043251617,0.5860243847925993,0.9346508969921486,1.2374191871365305,0.11267638206481934
Back Bay_Lyft_Lux.csv,SES,5.540675695572542,0.5895611772668505,0.9402917309647895,1.2417153180159823,0.003000497817993164
Back Bay_Lyft_Lux.csv,TBATS,5.595349356734804,0.5952936890487122,0.9494345199305272,1.249968432220425,14.505522012710571
Back Bay_Lyft_Lux.csv,ETS,5.504552198331176,0.5857636589775652,0.9342350651202772,1.2371460598239266,0.003999948501586914
Back Bay_Lyft_Lyft XL.csv,ARIMA,6.9729061456729315,0.8107831348972375,1.0490562780375812,1.4256319098619517,0.09597587585449219
Back Bay_Lyft_Lyft XL.csv,SES,6.977134805899077,0.8112621905775557,1.0496761187167178,1.425109292197188,0.0029973983764648438
Back Bay_Lyft_Lyft XL.csv,TBATS,6.964186162417375,0.8097957418164877,1.0477787096402282,1.4264922864905212,13.717580080032349
Back Bay_Lyft_Lyft XL.csv,ETS,6.966785153182174,0.8100917330107769,1.04816168679805,1.4266997752857076,0.004002809524536133
Back Bay_Lyft_Lyft.csv,ARIMA,7.163553464102583,0.8552006280979362,0.6642926346692641,0.9138229126240068,0.06999421119689941
Back Bay_Lyft_Lyft.csv,SES,7.141393313154304,0.8526060765254083,0.6622772695686407,0.9105669116937598,0.002999544143676758
Back Bay_Lyft_Lyft.csv,TBATS,7.102316324289669,0.8480227801193221,0.6587171107649213,0.9061748410679986,12.445860147476196
Back Bay_Lyft_Lyft.csv,ETS,7.141489645649621,0.8526174172370825,0.6622860786725978,0.9105886296420909,0.004997730255126953
Back Bay_Lyft_Shared.csv,ARIMA,7.645336243576034,0.6622768977279776,0.44466837480655974,0.5954041814235699,0.04099750518798828
Back Bay_Lyft_Shared.csv,SES,7.115389364422331,0.6184590606152592,0.41524804249043235,0.5244701760937704,0.00199127197265625
Back Bay_Lyft_Shared.csv,TBATS,7.181496386521315,0.6241340350843052,0.4190583545862891,0.5215316510494282,20.35174822807312
Back Bay_Lyft_Shared.csv,ETS,7.115026682712365,0.618428166408629,0.41522729938932107,0.5245076464241416,0.0039980411529541016
Back Bay_Uber_Black SUV.csv,ARIMA,4.8197532626617186,0.7719208759849508,1.4166291737722103,1.744837720472567,0.10400271415710449
Back Bay_Uber_Black SUV.csv,SES,4.861843125513581,0.7786382617141162,1.428956919907168,1.7553945045754076,0.0030221939086914062
Back Bay_Uber_Black SUV.csv,TBATS,4.886057786665023,0.7824971426033747,1.4360387380259751,1.7617532772975435,10.118448972702026
Back Bay_Uber_Black SUV.csv,ETS,4.819893806179003,0.7719433278366443,1.4166703774099194,1.7448700699602793,0.003974199295043945
Back Bay_Uber_Black.csv,ARIMA,5.485503779135567,0.6551571489842192,1.10257742627013,1.3740738206160292,0.10900115966796875
Back Bay_Uber_Black.csv,SES,5.804246086552727,0.6925896008891352,1.165573268632978,1.4389710495030978,0.0019996166229248047
Back Bay_Uber_Black.csv,TBATS,5.442507693168825,0.650064565311934,1.0940070125805914,1.3593191656617738,9.058902502059937
Back Bay_Uber_Black.csv,ETS,5.483230699088612,0.6548885272060684,1.102125357160829,1.3735491052084432,0.003998994827270508
Back Bay_Uber_UberPool.csv,ARIMA,6.396964296583466,0.9379982542577542,0.5780439153045109,0.7762528250454962,0.14599275588989258
Back Bay_Uber_UberPool.csv,SES,6.362603819800629,0.9329285699971812,0.5749197089149605,0.773557492925122,0.004034519195556641
Back Bay_Uber_UberPool.csv,TBATS,6.370678908991666,0.9341327266352284,0.5756617736411337,0.7758645301524747,14.281917095184326
Back Bay_Uber_UberPool.csv,ETS,6.399492813654472,0.9383722464233651,0.5782743889698101,0.7764872491886229,0.005031585693359375
Back Bay_Uber_UberX.csv,ARIMA,5.175906375492441,0.6863237647626423,0.5019847732188273,0.6775776743090823,0.10360097885131836
Back Bay_Uber_UberX.csv,SES,5.271488050911842,0.698997924958727,0.5112547938103057,0.6779280192730385,0.0030019283294677734
Back Bay_Uber_UberX.csv,TBATS,5.250992883136155,0.6962856354425823,0.5092709953356359,0.6774217269124915,24.272643089294434
Back Bay_Uber_UberX.csv,ETS,5.175135338495787,0.6862213090483489,0.5019098359790796,0.6776113226174938,0.007999897003173828
Back Bay_Uber_UberXL.csv,ARIMA,6.6278047550237185,0.6991642310751018,1.0442950000156843,1.365309418821904,0.09616208076477051
